,year,franchise,kpg
544,1934,STL,3.474025974
545,1935,ATL,2.849673203
546,1935,BAL,3.6
547,1935,BOS,3.051948052
548,1935,CHC,3.058441558
549,1935,CHW,2.647058824
550,1935,CIN,3.551948052
551,1935,CLE,3.634615385
552,1935,DET,2.980263158
553,1935,LAD,3.376623377
554,1935,MIN,2.642857143
555,1935,NYY,3.147651007
556,1935,OAK,4.046979866
557,1935,PHI,4.237179487
558,1935,PIT,2.85620915
559,1935,SFG,3.070512821
560,1935,STL,3.383116883
561,1936,ATL,3.707006369
562,1936,BAL,4.064516129
563,1936,BOS,3
564,1936,CHC,3
565,1936,CHW,2.738562092
566,1936,CIN,3.792207792
567,1936,CLE,2.993630573
568,1936,DET,3
569,1936,LAD,2.935897436
570,1936,MIN,2.620915033
571,1936,NYY,3.825806452
572,1936,OAK,3.844155844
573,1936,PHI,3.805194805
574,1936,PIT,3.217948718
575,1936,SFG,2.935064935
576,1936,STL,3.722580645
577,1937,ATL,4.651315789
578,1937,BAL,3.269230769
579,1937,BOS,3.616883117
580,1937,CHC,3.220779221
581,1937,CHW,2.902597403
582,1937,CIN,3.780645161
583,1937,CLE,3.538461538
584,1937,DET,4.593548387
585,1937,LAD,3.761290323
586,1937,MIN,3.202531646
587,1937,NYY,3.866242038
588,1937,OAK,3.616883117
589,1937,PHI,4.129032258
590,1937,PIT,3.116883117
591,1937,SFG,3.236842105
592,1937,STL,3.624203822
593,1938,ATL,3.581699346
594,1938,BAL,3.365384615
595,1938,BOS,3.08
596,1938,CHC,3.090909091
597,1938,CHW,3.281879195
598,1938,CIN,3.430463576
599,1938,CLE,3.960784314
600,1938,DET,3.735483871
601,1938,LAD,4.072847682
602,1938,MIN,2.460526316
603,1938,NYY,3.929936306
604,1938,OAK,3.831168831
605,1938,PHI,3.357615894
606,1938,PIT,2.690789474
607,1938,SFG,3.473684211
608,1938,STL,3.153846154
609,1939,ATL,3.25
610,1939,BAL,3.884615385
611,1939,BOS,3.302631579
612,1939,CHC,3.544871795
613,1939,CHW,3.238709677
614,1939,CIN,3.448717949
615,1939,CLE,3.707792208
616,1939,DET,3.825806452
617,1939,LAD,4.070063694
618,1939,MIN,2.993464052
619,1939,NYY,3.572368421
620,1939,OAK,3.470588235
621,1939,PHI,3.197368421
622,1939,PIT,2.745098039
623,1939,SFG,3.304635762
624,1939,STL,3.651612903
625,1940,ATL,3.822368421
626,1940,BAL,4.08974359
627,1940,BOS,3.876623377
628,1940,CHC,3.675324675
629,1940,CHW,3.670967742
630,1940,CIN,3.24516129
631,1940,CLE,3.858064516
632,1940,DET,3.574193548
633,1940,LAD,3.653846154
634,1940,MIN,3.272727273
635,1940,NYY,3.903225806
636,1940,OAK,4.253246753
637,1940,PHI,3.444444444
638,1940,PIT,3.166666667
639,1940,SFG,3.144736842
640,1940,STL,3.91025641
641,1941,ATL,3.871794872
642,1941,BAL,3.515923567
643,1941,BOS,3.651612903
644,1941,CHC,4.309677419
645,1941,CHW,3.051282051
646,1941,CIN,2.785714286
647,1941,CLE,3.890322581
648,1941,DET,3.761290323
649,1941,LAD,3.407643312
650,1941,MIN,3.128205128
651,1941,NYY,3.615384615
652,1941,OAK,3.818181818
653,1941,PHI,3.838709677
654,1941,PIT,3.307692308
655,1941,SFG,3.320512821
656,1941,STL,3.503225806
657,1942,ATL,3.393333333
658,1942,BAL,4.026490066
659,1942,BOS,3.342105263
660,1942,CHC,3.909677419
661,1942,CHW,2.871621622
662,1942,CIN,3.564935065
663,1942,CLE,3.487179487
664,1942,DET,3.025641026
665,1942,LAD,3.129032258
666,1942,MIN,3.549668874
667,1942,NYY,3.61038961
668,1942,OAK,3.175324675
669,1942,PHI,3.225165563
670,1942,PIT,3.569536424
671,1942,SFG,3.292207792
672,1942,STL,3.237179487
673,1943,ATL,3.934640523
674,1943,BAL,4.215686275
675,1943,BOS,3.812903226
676,1943,CHC,3.441558442
677,1943,CHW,3.75483871
678,1943,CIN,3.103225806
679,1943,CLE,3.392156863
680,1943,DET,3.561290323
681,1943,LAD,2.745098039
682,1943,MIN,3.751633987
683,1943,NYY,3.619354839
684,1943,OAK,3
685,1943,PHI,3.522292994
686,1943,PIT,3.605095541
687,1943,SFG,2.987179487
688,1943,STL,2.78343949
689,1944,ATL,3.270967742
690,1944,BAL,3.915584416
691,1944,BOS,3.217948718
692,1944,CHC,3.318471338
693,1944,CHW,2.909090909
694,1944,CIN,2.516129032
695,1944,CLE,3.832258065
696,1944,DET,3.205128205
697,1944,LAD,2.922580645
698,1944,MIN,3.090909091
699,1944,NYY,4.064935065
700,1944,OAK,3.161290323
701,1944,PHI,3.305194805
702,1944,PIT,3.898734177
