franchise,kpg,year
SPDYNLE00FEIN,47.36842105,1982
SPDYNLE00FEIN,49.12280702,1983
SPDYNLE00FEIN,42.10526316,1980
SPDYNLE00FEIN,44.73684211,1981
SPDYNLE00FEIN,5.263157895,1964
SPDYNLE00FEIN,7.01754386,1965
SPDYNLE00FEIN,7.894736842,1966
SPDYNLE00FEIN,9.649122807,1967
SPDYNLE00FEIN,0,1960
SPDYNLE00FEIN,1.754385965,1961
SPDYNLE00FEIN,57.89473684,1988
SPDYNLE00FEIN,59.64912281,1989
SPDYNLE00FEIN,84.21052632,2001
SPDYNLE00FEIN,100,2011
SPDYNLE00FEIN,99.12280702,2010
SPDYNLE00FEIN,0,2012
SPDYNLE00FEIN,91.22807018,2005
SPDYNLE00FEIN,11.40350877,1968
SPDYNLE00FEIN,13.15789474,1969
SPDYNLE00FEIN,63.15789474,1991
SPDYNLE00FEIN,61.40350877,1990
SPDYNLE00FEIN,67.54385965,1993
SPDYNLE00FEIN,65.78947368,1992
SPDYNLE00FEIN,71.92982456,1995
SPDYNLE00FEIN,69.29824561,1994
SPDYNLE00FEIN,75.43859649,1997
SPDYNLE00FEIN,73.68421053,1996
SPDYNLE00FEIN,79.8245614,1999
SPDYNLE00FEIN,78.07017544,1998
SPDYNLE00FEIN,28.94736842,1975
SPDYNLE00FEIN,36.84210526,1978
SPDYNLE00FEIN,23.68421053,1973
SPDYNLE00FEIN,21.05263158,1972
SPDYNLE00FEIN,18.42105263,1971
SPDYNLE00FEIN,15.78947368,1970
SPDYNLE00FEIN,85.96491228,2002
SPDYNLE00FEIN,34.21052632,1977
SPDYNLE00FEIN,81.57894737,2000
SPDYNLE00FEIN,92.98245614,2006
SPDYNLE00FEIN,94.73684211,2007
SPDYNLE00FEIN,89.47368421,2004
SPDYNLE00FEIN,39.47368421,1979
SPDYNLE00FEIN,95.61403509,2008
SPDYNLE00FEIN,97.36842105,2009
SPDYNLE00MAIN,26.53061224,1976
SPDYNLE00MAIN,84.69387755,2003
SPDYNLE00MAIN,1.020408163,1962
SPDYNLE00MAIN,1.020408163,1963
SPDYNLE00MAIN,21.42857143,1974
SPDYNLE00MAIN,51.02040816,1986
SPDYNLE00MAIN,52.04081633,1987
SPDYNLE00MAIN,47.95918367,1984
SPDYNLE00MAIN,48.97959184,1985
SPDYNLE00MAIN,43.87755102,1982
SPDYNLE00MAIN,45.91836735,1983
SPDYNLE00MAIN,38.7755102,1980
SPDYNLE00MAIN,40.81632653,1981
SPDYNLE00MAIN,1.020408163,1964
SPDYNLE00MAIN,1.020408163,1965
SPDYNLE00MAIN,2.040816327,1966
SPDYNLE00MAIN,3.06122449,1967
SPDYNLE00MAIN,0,1960
